[ 4-25 22:58: 5]:Module:E:\Game\�ʺ絺Online\LaTaleClient.exe+2B8543,eax=1DB20E50,ecx=1D290038,edx=1E25EFF0,edi=19E0B558,esi=19E0B580
[ 4-25 22:58: 5]:Module: C:\Windows\System32\KERNEL32.DLL Function:BaseThreadInitThunk
[ 4-25 22:58: 5]:Module: C:\Windows\SYSTEM32\ntdll.dll Function:RtlGetAppContainerNamedObjectPath
[ 4-25 22:58: 5]:Module: C:\Windows\SYSTEM32\ntdll.dll Function:RtlCaptureContext
[ 4-25 22:58:27]:Module:E:\Game\�ʺ絺Online\LaTaleClient.exe+1,eax=1,ecx=16BBC00,edx=16BBD44,edi=1DB590E8,esi=1DB59110
[ 4-25 22:58:27]:Module: C:\Windows\System32\KERNEL32.DLL Function:BaseThreadInitThunk
[ 4-27 22:49:41]:RECV : 0BEBC90F
[ 4-27 22:49:45]:RECV : 0BEBC32E
[ 4-27 22:49:50]:RECV : 0BEBC58E
[ 4-27 22:49:55]:RECV : 0BEBC32E
[ 4-27 22:50: 2]:RECV : 0BEBC32E
[ 4-27 22:50: 2]:RECV : 0BEBC90F
[ 4-27 22:50:10]:RECV : 0BEBC58E
[ 4-27 22:50:12]:RECV : 0BEBC58E
[ 4-27 22:50:22]:RECV : 0BEBC58E
[ 4-27 22:50:22]:RECV : 0BEBC58E
[ 4-27 22:50:30]:RECV : 0BEBC58E
[ 4-27 22:50:35]:RECV : 0BEBC58E
[ 4-27 22:50:43]:RECV : 0BEBC32E
[ 4-27 22:50:43]:RECV : 0BEBC32E
[ 4-27 22:50:43]:RECV : 0BEBC32E
[ 4-27 22:50:43]:RECV : 0BEBC32E
[ 4-27 22:50:43]:RECV : 0BEBC32E
[ 4-27 22:50:43]:RECV : 0BEBC32E
[ 4-27 22:50:43]:RECV : 0BEBC32E
[ 4-27 22:50:43]:RECV : 0BEBC32E
[ 4-27 22:50:43]:RECV : 0BEBC90F
[ 4-27 22:50:43]:RECV : 0BEBC90F
[ 4-27 22:50:43]:RECV : 0BEBC90F
[ 4-27 22:50:43]:RECV : 0BEBC90F
[ 4-27 22:50:48]:RECV : 0BEBC58E
[ 4-27 22:50:54]:RECV : 0BEBC58E
[ 4-27 22:50:58]:RECV : 0BEBC58E
[ 4-27 22:51: 1]:RECV : 0BEBC58E
[ 4-27 22:51: 4]:RECV : 0BEBC58E
[ 4-27 22:51: 5]:RECV : 0BEBC58E
[ 4-27 22:51: 8]:RECV : 0BEBC58E
[ 4-27 22:51:12]:RECV : 0BEBC58E
[ 4-27 22:51:13]:RECV : 0BEBC58E
[ 4-27 22:51:15]:RECV : 0BEBC58E
[ 4-27 22:51:21]:RECV : 0BEBC58E
[ 4-27 22:51:25]:RECV : 0BEBC58E
[ 4-27 22:51:27]:RECV : 0BEBC58E
[ 4-27 22:51:28]:RECV : 0BEBC58E
[ 4-27 22:51:29]:RECV : 0BEBC32E
[ 4-27 22:51:29]:RECV : 0BEBC32E
[ 4-27 22:51:29]:RECV : 0BEBC32E
[ 4-27 22:51:29]:RECV : 0BEBC32E
[ 4-27 22:51:29]:RECV : 0BEBC32E
[ 4-27 22:51:29]:RECV : 0BEBC90F
[ 4-27 22:51:29]:RECV : 0BEBC90F
[ 4-27 22:51:29]:RECV : 0BEBC90F
[ 4-27 22:51:29]:RECV : 0BEBC90F
[ 4-27 22:51:30]:RECV : 0BEBC90F
[ 4-27 22:51:55]:RECV : 0BEBC58E
[ 4-27 22:52: 5]:RECV : 0BEBC58E
[ 4-27 22:52: 9]:RECV : 0BEBC58E
[ 4-27 22:52:14]:RECV : 0BEBC58E
[ 4-27 22:52:19]:RECV : 0BEBC58E
[ 4-27 22:52:23]:RECV : 0BEBC58E
[ 4-27 22:52:27]:RECV : 0BEBC58E
[ 4-27 22:52:32]:RECV : 0BEBC58E
[ 4-27 22:52:33]:RECV : 0BEBC58E
[ 4-27 22:52:33]:RECV : 0BEBC58E
[ 4-27 22:52:40]:RECV : 0BEBC58E
[ 4-27 22:52:42]:RECV : 0BEBC58E
[ 4-27 22:52:42]:RECV : 0BEBC58E
[ 4-27 22:52:46]:RECV : 0BEBC58E
[ 4-27 22:52:52]:RECV : 0BEBC58E
[ 4-27 22:52:52]:RECV : 0BEBC58E
[ 4-27 22:52:54]:RECV : 0BEBC58E
[ 4-27 22:52:56]:RECV : 0BEBC58E
[ 4-27 22:53: 2]:RECV : 0BEBC58E
[ 4-27 22:53: 6]:RECV : 0BEBC58E
[ 4-27 22:53: 8]:RECV : 0BEBC58E
[ 4-27 22:53: 9]:RECV : 0BEBC58E
[ 4-27 22:53:13]:RECV : 0BEBC58E
[ 4-27 22:53:16]:RECV : 0BEBC58E
[ 4-27 22:53:20]:RECV : 0BEBC32E
[ 4-27 22:53:20]:RECV : 0BEBC32E
[ 4-27 22:53:20]:RECV : 0BEBC32E
[ 4-27 22:53:20]:RECV : 0BEBC32E
[ 4-27 22:53:20]:RECV : 0BEBC32E
[ 4-27 22:53:20]:RECV : 0BEBC32E
[ 4-27 22:53:20]:RECV : 0BEBC32E
[ 4-27 22:53:20]:RECV : 0BEBC90F
[ 4-27 22:53:20]:RECV : 0BEBC90F
[ 4-27 22:53:20]:RECV : 0BEBC90F
[ 4-27 22:53:20]:RECV : 0BEBC90F
[ 4-27 22:53:20]:RECV : 0BEBC90F
[ 4-27 22:53:29]:RECV : 0BEBC58E
[ 4-27 22:53:29]:RECV : 0BEBC58E
[ 4-27 22:53:30]:RECV : 0BEBC58E
[ 4-27 22:53:31]:RECV : 0BEBC32E
[ 4-27 22:53:32]:RECV : 0BEBC32E
[ 4-27 22:53:32]:RECV : 0BEBC90F
[ 4-27 22:53:33]:RECV : 0BEBC58E
[ 4-27 22:53:33]:RECV : 0BEBC58E
[ 4-27 22:53:33]:RECV : 0BEBC32E
